zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
36548,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36784,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36571,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35042,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36543,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36351,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36305,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35244,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35034,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36451,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36615,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35541,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36871,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35570,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35581,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36320,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36024,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36353,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35990,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35126,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
