ID,Plate Type,Primary Customer City,Primary Customer State,Registration Start Date,Registration Expiration Date,Registration Usage,Vehicle Type,Vehicle Weight,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Body,Primary Color,Vehicle Declared Gross Weight,Fuel Code,Vehicle Recorded GVWR,Vehicle Name,Type,Vehicle Category
53373,Passenger,STAMFORD,CT,09/20/2021,09/19/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Gray,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
53423,Passenger,NEW CANAAN,CT,09/21/2021,09/20/2024,Regular,Passenger,0,2021,Porsche,Taycan 4s,4D,Blue,0,E00,0,Porsche Taycan,BEV,Light-Duty (Class 1-2)
53429,Passenger,SIMSBURY,CT,09/28/2021,09/27/2024,Regular,Passenger,0,2017,Toyota,Prius Prime,4H,Red,0,H04,0,Toyota Prius Prime,PHEV,Light-Duty (Class 1-2)
53475,Passenger,NORTH FRANKLIN,CT,09/13/2021,09/12/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,White,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
53489,Passenger,NORTHFORD,CT,09/23/2021,09/22/2024,Regular,Passenger,0,2017,BMW,I3 Rex,4D,Blue,0,H02,0,BMW i3,PHEV,Light-Duty (Class 1-2)
53565,Passenger,STERLING,CT,09/07/2021,09/06/2024,Regular,SUV,0,2021,Toyota,Rav4 Prime Se,EP,Blue,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
53599,Passenger,PALO ALTO,CA,09/07/2021,09/06/2024,Regular,SUV,0,2017,Tesla,Model X,SU,White,0,E00,0,Tesla Model X,BEV,Light-Duty (Class 1-2)
53703,Passenger,BLOOMFIELD,CT,09/28/2021,09/27/2024,Regular,Passenger,0,2021,Tesla,Model S,4D,Blue,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
53755,Passenger,NORTHFIELD,CT,09/13/2021,09/12/2024,Regular,Passenger,0,2021,Jeep,Wrangler Unlimited Rubicon 4xe,EP,Gray,0,H04,0,Jeep Wrangler Plug In,PHEV,Light-Duty (Class 1-2)
53779,Passenger,FAIRFIELD,CT,09/13/2021,09/12/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,White,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
53780,Passenger,SHELTON,CT,09/13/2021,09/12/2024,Regular,Passenger,0,2021,Tesla,Model 3,SD,Gray,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
53783,Passenger,BETHEL,CT,09/13/2021,09/12/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Gray,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
53801,Combination,SOUTHBURY,CT,09/29/2021,09/28/2024,Combination,Passenger,6700,2021,Lincoln,Aviator Grand Touring,SU,White,0,H04,6700,Lincoln Aviator Plug In,PHEV,Light-Duty (Class 1-2)
53932,Passenger,NEW BRITAIN,CT,09/23/2021,09/22/2024,Regular,Passenger,0,2017,Toyota,Prius Prime,4H,Red,0,H04,0,Toyota Prius Prime,PHEV,Light-Duty (Class 1-2)
53958,Passenger,NEW CANAAN,CT,09/29/2021,09/28/2024,Regular,Passenger,0,2018,Tesla,Model S,4D,Red,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
53968,Passenger,STAMFORD,CT,09/25/2021,09/24/2024,Regular,SUV,0,2021,Jeep,Wrangler Unlimited Sahara 4xe,EP,White,0,H04,0,Jeep Wrangler Plug In,PHEV,Light-Duty (Class 1-2)
53983,Passenger,PRESTON,CT,09/29/2021,09/28/2024,Regular,SUV,0,2021,Ford,Mustang Mach-e Premium,UT,Black,0,E00,5800,Ford Mustang Mach-E,BEV,Light-Duty (Class 1-2)
54030,Passenger,EASTON,CT,09/13/2021,09/12/2024,Regular,SUV,0,2021,Hyundai,Kona Ultimate,EP,Red,0,E00,0,Hyundai Kona Electric,BEV,Light-Duty (Class 1-2)
54074,Passenger,WOODBRIDGE,CT,10/14/2021,10/13/2024,Regular,Passenger,0,2021,Toyota,Rav4 Prime Xse,SU,Gray,1854188,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
54104,Passenger,WATERBURY,CT,09/23/2021,09/22/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Black,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
54160,Passenger,NAUGATUCK,CT,09/07/2021,09/06/2024,Regular,SUV,5530,2021,Toyota,Rav4 Prime Se,SU,White,0,H04,5530,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
54187,Passenger,PALO ALTO,CA,09/07/2021,09/06/2024,Regular,Passenger,0,2015,Tesla,Model S,4D,White,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
